"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C04167V04938","Electoral Divisions","UNIT","VALUE"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dcc-13a3-e055-000000000001","Priorswood A, Dublin City","Number","1574"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dcd-13a3-e055-000000000001","Priorswood B, Dublin City","Number","2794"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dca-13a3-e055-000000000001","Priorswood C, Dublin City","Number","4883"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dcb-13a3-e055-000000000001","Priorswood D, Dublin City","Number","2653"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dce-13a3-e055-000000000001","Priorswood E, Dublin City","Number","2771"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dcf-13a3-e055-000000000001","Raheny-Foxfield, Dublin City","Number","2553"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd0-13a3-e055-000000000001","Raheny-Greendale, Dublin City","Number","2262"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd1-13a3-e055-000000000001","Raheny-St. Assam, Dublin City","Number","3919"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd2-13a3-e055-000000000001","Rathfarnham, Dublin City","Number","5768"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd3-13a3-e055-000000000001","Rathmines East A, Dublin City","Number","4979"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd4-13a3-e055-000000000001","Rathmines East B, Dublin City","Number","5705"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd5-13a3-e055-000000000001","Rathmines East C, Dublin City","Number","3484"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd6-13a3-e055-000000000001","Rathmines East D, Dublin City","Number","2755"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd7-13a3-e055-000000000001","Rathmines West A, Dublin City","Number","6115"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dd8-13a3-e055-000000000001","Rathmines West B, Dublin City","Number","3818"
"F1011C01","Population - 2022","2022","2022","2ae19629-1de6-13a3-e055-000000000001","Rathmines West C, Dublin City","Number","2857"
"F1011C01","Population - 2022","2022","2022","2ae19629-1de7-13a3-e055-000000000001","Rathmines West D, Dublin City","Number","3222"
"F1011C01","Population - 2022","2022","2022","2ae19629-1de8-13a3-e055-000000000001","Rathmines West E, Dublin City","Number","3712"
"F1011C01","Population - 2022","2022","2022","2ae19629-1de9-13a3-e055-000000000001","Rathmines West F, Dublin City","Number","2943"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dea-13a3-e055-000000000001","Rotunda A, Dublin City","Number","6528"
"F1011C01","Population - 2022","2022","2022","2ae19629-1deb-13a3-e055-000000000001","Rotunda B, Dublin City","Number","3589"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dec-13a3-e055-000000000001","Royal Exchange A, Dublin City","Number","5063"
"F1011C01","Population - 2022","2022","2022","2ae19629-1ded-13a3-e055-000000000001","Royal Exchange B, Dublin City","Number","2213"
"F1011C01","Population - 2022","2022","2022","2ae19629-1dee-13a3-e055-000000000001","Saint Kevin's, Dublin City","Number","5732"
"F1011C01","Population - 2022","2022","2022","2ae19629-1def-13a3-e055-000000000001","South Dock, Dublin City","Number","8320"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df0-13a3-e055-000000000001","Terenure A, Dublin City","Number","3982"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df1-13a3-e055-000000000001","Terenure B, Dublin City","Number","3746"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df2-13a3-e055-000000000001","Terenure C, Dublin City","Number","1881"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df3-13a3-e055-000000000001","Terenure D, Dublin City","Number","782"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df4-13a3-e055-000000000001","Ushers A, Dublin City","Number","5117"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df5-13a3-e055-000000000001","Ushers B, Dublin City","Number","1903"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df6-13a3-e055-000000000001","Ushers C, Dublin City","Number","4069"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df7-13a3-e055-000000000001","Ushers D, Dublin City","Number","2390"
"F1011C01","Population - 2022","2022","2022","2ae19629-1df8-13a3-e055-000000000001","Ushers E, Dublin City","Number","1859"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e05-13a3-e055-000000000001","Ushers F, Dublin City","Number","3461"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e06-13a3-e055-000000000001","Walkinstown A, Dublin City","Number","2947"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e07-13a3-e055-000000000001","Walkinstown B, Dublin City","Number","2014"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e08-13a3-e055-000000000001","Walkinstown C, Dublin City","Number","2481"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e09-13a3-e055-000000000001","Whitehall A, Dublin City","Number","3117"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e0a-13a3-e055-000000000001","Whitehall B, Dublin City","Number","4371"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e0b-13a3-e055-000000000001","Whitehall C, Dublin City","Number","2908"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e0c-13a3-e055-000000000001","Whitehall D, Dublin City","Number","3279"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e0d-13a3-e055-000000000001","Wood Quay A, Dublin City","Number","2871"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e0e-13a3-e055-000000000001","Wood Quay B, Dublin City","Number","3907"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e23-13a3-e055-000000000001","Ballinascorney, South Dublin","Number","874"
"F1011C01","Population - 2022","2022","2022","2ae19629-1e2a-13a3-e055-000000000001","Ballyboden, South Dublin","Number","5246"
"F1011C01","Population - 2022","2022","2022","2ae19629-1ce0-13a3-e055-000000000001","Bohernabreena, South Dublin","Number","5672"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d02-13a3-e055-000000000001","Clondalkin Village, South Dublin","Number","9388"
"F1011C01","Population - 2022","2022","2022","2ae19629-1cfc-13a3-e055-000000000001","Clondalkin-Ballymount, South Dublin","Number","2320"
